#                        name    w   j   s   v
instance              gotic_4    5  17   3  60

#         id     x   y       Ts     Te  skills
tic   tic_00    94   0      480   1080  2
tic   tic_01    27  93      480   1080  2
tic   tic_02    25  49      480   1080  2 3
tic   tic_03    34  48      480   1080  1 3
tic   tic_04    90  35      480   1080  1 3

#         id     x   y    t_min t_max   s   d   r       p
job  job_000    25  35        0  1439   3  90   0    1000
job  job_001    10  46        0  1439   1 120   0    1000
job  job_002     0  80        0  1439   3  30   0    1000
job  job_003    68  71        0  1439   2  60   0    1000
job  job_004    15  15        0  1439   2  60   0    1000
job  job_005    31  51        0  1439   1  60   0    1000
job  job_006    44  97        0  1439   1  30   0    1000
job  job_007    21   4        0  1439   3  60   0    1000
job  job_008    10  24        0  1439   1  60   0    1000
job  job_009    65  66        0  1439   3  90   0    1000
job  job_010    65  70        0  1439   1  30   0    1000
job  job_011    17  38      480   599   1  90   1    1000
job  job_012    94  88        0  1439   1  60   0    1000
job  job_013     5  83        0  1439   3  60   0    1000
job  job_014    10  35      476   535   3  30   1    1000
job  job_015     6  19        0  1439   2  30   0    1000
job  job_016    14  15        0  1439   1  30   0    1000

end
