#                        name    w   j   s   v
instance              gotic_2    3  10   3  60

#         id    x   y        Ts     Te  skills
tic   tic_00    54  58      480   1080  2
tic   tic_01    14  91      480   1080  1 3
tic   tic_02     8  71      480   1080  1 3

#          id    x   y    tmin  tmax   s   d   r   p
job   job_000    85  11      0  1439   2 120   0   1000
job   job_001    26  99    480   545   1  60   1   1000
job   job_002    74  23    540   719   3  90   1   1000
job   job_003    98  64      0  1439   2 120   0   1000
job   job_004    37  65      0  1439   1 120   0   1000
job   job_005    89  36      0  1439   1 120   0   1000
job   job_006    86  11      0  1439   2  60   0   1000
job   job_007    56  60    720  1079   1  30   1   1000
job   job_008     4  56      0  1439   1  60   0   1000
job   job_009    28  73      0  1439   3  30   0   1000

end
