#                        name    w   j   s   v
instance              gotic_6    7  22   5   60

#         id     x   y       Ts     Te  skills
tic   tic_00    35  15      480   1080  1 2 4 5
tic   tic_01     6  28      480   1080  1 4 5
tic   tic_02    28  97      480   1080  4 5
tic   tic_03    97  63      480   1080  1 3 4
tic   tic_04    16  54      480   1080  1
tic   tic_05    51  37      480   1080  1 2
tic   tic_06    17  43      480   1080  2 3 4 5

#          id    x   y     tmin  tmax   s   d   r    p
job   job_000   60  48        0  1439   2  60   0    1000
job   job_001   79  86        0  1439   2  30   0    1000
job   job_002   95  26        0  1439   2  30   0    1000
job   job_003   27  35        0  1439   1  90   0    1000
job   job_004   91  19        0  1439   5  60   0    1000
job   job_005   35  82      480   659   4 120   1    1000
job   job_006   20  45        0  1439   2  60   0    1000
job   job_007   59  41        0  1439   4  90   0    1000
job   job_008   36  15      474   593   4  90   1    1000
job   job_009   53  25        0  1439   1  60   0    1000
job   job_010   32  33      472   591   2  90   1    1000
job   job_011   78  16        0  1439   5  30   0    1000
job   job_012   52  52        0  1439   5  30   0    1000
job   job_013   42  86      474   593   5  90   1    1000
job   job_014   97  54      478   567   5  60   1    1000
job   job_015   35  63        0  1439   3  30   0    1000
job   job_016   29  38        0  1439   2  90   0    1000
job   job_017   93  38        0  1439   4  90   0    1000
job   job_018   96  11        0  1439   4  30   0    1000
job   job_019   42   6      494   553   4  90   1    1000
job   job_020   29  72      466   525   1  30   1    1000
job   job_021   62  35        0  1439   4  30   0    1000

end
