#                        name    w   j   s   v
instance              gotic_5    7  20   5  60

#         id   x   y     Ts    Te   skills
tic   tic_00  84  39    480   1080  3  4 
tic   tic_01  76  27    480   1080  1  3 
tic   tic_02  95  91    480   1080  2  4 
tic   tic_03  24  13    480   1080  1  2  3  4 
tic   tic_04  99  21    480   1080  3 
tic   tic_05  52  49    480   1080  1 
tic   tic_06  40  89    480   1080  0  1  4 

#          id    x   y   tmin   tmax    s    d    r    p
job   job_000    6   2      0   1439    2   30    0  1000
job   job_001   23  97    480    639    4   60    1  1000
job   job_002   26  53      0   1439    1   60    0  1000
job   job_003   51  66      0   1439    2   30    0  1000
job   job_004   43  93    640    919    4   60    1  1000
job   job_005   28  73      0   1439    3   30    0  1000
job   job_006   68  16      0   1439    2   60    0  1000
job   job_007   82  33      0   1439    1   60    0  1000
job   job_008   35  68    860    919    4   60    1  1000
job   job_009   65  85      0   1439    2   60    0  1000
job   job_010   39  81      0   1439    3   60    0  1000
job   job_011   48  21    480    669    4   60    1  1000
job   job_012   14  88      0   1439    3   30    0  1000
job   job_013   61  28      0   1439    3   30    0  1000
job   job_014   44  22    480    779    0   30    1  1000
job   job_015   55  41    480   1439    0   60    0  1000
job   job_016   10  12    780   1079    2   60    1  1000
job   job_017   98  93    780   1079    3   30    1  1000
job   job_018   74  36    600    959    1   30    0  1000
job   job_019   58  24    480   1079    0   60    1  1000

end
