#                        name    w   j   s   v
instance              gotic_7    8  21   6  60

#         id    x   y        Ts     Te  skills
tic   tic_01    37  45      480   1080  3 5
tic   tic_02    37  66      480   1080  1
tic   tic_03    20  89      480   1080  1 4 5
tic   tic_04    94  91      480   1080  1 2 6
tic   tic_05    76  48      480   1080  1 4
tic   tic_06     7  79      480   1080  4
tic   tic_07    71  46      480   1080  2 3
tic   tic_08    75  34      480   1080  1 2 4 5

#          id    x   y    tmin  tmax   s   d   r   p
job   job_001    3  31     780  1079   5  120  1   1000
job   job_002   38  63       0  1439   1  120  0   1000
job   job_003   47  48       0  1439   1   90  0   1000
job   job_004    1  69       0  1439   2  120  0   1000
job   job_005   62  62       0  1439   1  120  0   1000
job   job_006   89  64     780  1079   5   60  1   1000
job   job_007   59  99       0  1439   6   30  0   1000
job   job_008   32  17       0  1439   6   60  0   1000
job   job_009   77  63     480   779   2  120  1   1000
job   job_010   56  16       0  1439   2   60  0   1000
job   job_011   75  93     780  1079   5   30  1   1000
job   job_012   37  89     480   779   2   90  1   1000
job   job_013   27  95       0  1439   3   90  0   1000
job   job_014   74  87       0  1439   3   60  0   1000
job   job_015   61  23       0  1439   2  120  0   1000
job   job_016   28  84     780  1079   5   60  1   1000
job   job_017    6  31       0  1439   1  120  0   1000
job   job_018   76  23       0  1439   3   90  0   1000
job   job_019   59  56       0  1439   1  120  0   1000
job   job_020   75  43     480   779   5  120  1   1000
job   job_021    8  28       0  1439   3   60  0   1000

end
